source,year,date,shift,set_name,question_id,question_number,question_text,passage_text,case_text,option_a,option_b,option_c,option_d,correct_option,answer_source,question_type,difficulty_estimate,unit,chapter,subtopic,ncert_keyword_match,repeated_concept_cluster,confidence_score,source_url,raw_file_path,needs_review
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808d1d,40,"Match list I with list II

| LIST I Financial Markets | LIST II Explanation |
| --- | --- |
| A. Capital Market | I. It facilitates transfer of investible funds from savers to entrepreneurs, seeking to establish new enterprise |
| B. Money Market | II. It consists of development banks, commercial banks and stock exchange and facilitate economic development |
| C. Primary Market | III. Market with low risk, unsecured instruments where assets are close substitutes for cash |
| D. Secondary Market | IV. It helps existing investors to disinvest and fresh investors to enter market |

Choose the correct answer from the option given below:",,,"A-II, B- IV, C-III, D-I","A-IV, B- III, C-II, D-I","A-II, B- III, C-I, D-IV","A-III, B- IV, C-I, D-II",C,AfterBoards CUET Business Studies PYQs linked file,match-the-following,medium,Unit IX,Business Finance,investment decision,risk,Business Finance :: investment decision,0.47,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808d1f,41,At what level of management is Mr. Murthy working?,$32,$32,Top level,Middle level,Lower level,Operational level,A,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit I,Nature and Significance of Management,levels of management,"top level, middle level",Nature and Significance of Management :: levels of management,0.71,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808d21,42,"""He grabs all possible opportunities and leads the organisation"" by example and trust. Which quality of a good leader is depicted here?",$33,$33,Integrity,Knowledge,Initiative,Motivational skills,C,AfterBoards CUET Business Studies PYQs linked file,application,easy,Unit VII,Directing,leadership,leader,Directing :: leadership,0.40,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808d25,43,"""He ensures hiring competent people for various jobs"".

Which function of management is being performed by MR. Murthy?",$34,$34,Planning,Organising,Staffing,Controlling,C,AfterBoards CUET Business Studies PYQs linked file,application,easy,Unit I,Nature and Significance of Management,functions of management,"planning, organising, staffing, controlling",Nature and Significance of Management :: functions of management,0.82,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808d29,44,"""Every employee is required to undergo training, their jobs are well defined and regular feedbacks are provided so that their long term interest is also served"".

Above statement describes a step involved in one of the functions of management. Identify the step.",$35,$35,Selection,Taking corrective action,Implementing the plan,Performance appraisal,D,AfterBoards CUET Business Studies PYQs linked file,statement-based,easy,Unit VI,Staffing,staffing process,"selection, training, performance appraisal",Staffing :: staffing process,0.73,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808d2b,45,"""He has also devised various ways to know the reaction of employees""

Above statement highlights one of the elements involved in communication process. Identify it.",$36,$36,Sender,Media,Encoding,Feedback,D,AfterBoards CUET Business Studies PYQs linked file,statement-based,easy,Unit VII,Directing,communication,"communication, encoding, feedback",Directing :: communication,0.75,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808d2d,46,"""Employees are offered shares at a price lower than the market price""

Financial incentives identified above is:",$37,$37,Profit sharing,Co-partnership/Stock option,Productivity linked wage benefit,Perquisites,B,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit VII,Directing,motivation,"incentive, financial incentives",Directing :: motivation,0.63,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808d2f,47,"""Employees are given individual autonomy and rewards for performance""

Identify the need satisfied as given by Maslow's need hierarchy theory",$38,$38,Safety/Security need,Belongingness need,Esteem need,Self actualisation need,C,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit VII,Directing,Maslow hierarchy,"maslow, safety, belongingness, esteem, self actualisation",Directing :: Maslow hierarchy,0.88,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808d31,48,"""All communication must be recorded and filed in the office"" Which type of communication is best described in the above statement?",$39,$39,Lateral communication,Informal communication,Grapevine communication,Formal communication,D,AfterBoards CUET Business Studies PYQs linked file,statement-based,easy,Unit VII,Directing,communication,"communication, formal communication, informal communication",Directing :: communication,0.74,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808d33,49,"""Employees were given individual autonomy and reward for performance""

Which non financial incentive is highlighted in the above statement?",$3a,$3a,Status,Organisational climate,Employee recognition,Career advancement opportunity,C,AfterBoards CUET Business Studies PYQs linked file,statement-based,easy,Unit VII,Directing,motivation,incentive,Directing :: motivation,0.44,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,6 Oct,1,6 Oct Shift 1,69e9f1b14554f86795808d35,50,Mr. Murthy always motivates his team and introduced a number of motivational schemes in the organisation. Which of the following skill is being possed by Mr. Murthy?,$3b,$3b,Communication skill,Motivation Skill,Self confidence,Integrity,B,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit VII,Directing,meaning and importance,"motivation, communication",Directing :: meaning and importance,0.56,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-6,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_17c6d7403746467f.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,28 May,2,28 May Shift 2,69e9f214d4a8482ee0a48de9,1,"Consider the following Facts about Consumer Protection Act :
(A) Getting relief against unfair trade practices by a consumer is called right to be heard
(B) A seller is not a King in a free market economy
(C) 'Caveat emptor' means 'Let the buyer beware'
(D) Right of Consumer for being well informed throughout life, is called right to be informed
(E) Freedom to consumer for accessing variety of Products is right to be assured.
Choose the correct answer from the options given below :",,,"(A), (B) and (C) only","(A), (B) and (E) only","(A), (B) and (D) only","(B), (C) and (E) only",D,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit XI,Consumer Protection,consumer rights,"right to be informed, right to be heard",Consumer Protection :: consumer rights,0.82,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-7,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_f01dbe79a9a22674.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,28 May,2,28 May Shift 2,69e9f214d4a8482ee0a48deb,2,Identify the true statement out of the below given statements :,,,Trade mark is a registered brand,Trademark is an un-registered brand,Brand and trade mark are same,Brand is an owned trademark,A,AfterBoards CUET Business Studies PYQs linked file,statement-based,easy,Unit X,Marketing,product,trademark,Marketing :: product,0.47,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-7,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_f01dbe79a9a22674.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,28 May,2,28 May Shift 2,69e9f214d4a8482ee0a48ded,3,Which of the following is incorrect about organising ?,,,Organising is a management function,Departmentalisation is the first step of organising,Functional structure is a part of organising,Organising leads to specialisation in work,B,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit V,Organising,meaning and process,"organising, departmentalisation",Organising :: meaning and process,0.63,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-7,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_f01dbe79a9a22674.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,28 May,2,28 May Shift 2,69e9f214d4a8482ee0a48def,4,Which of the following is NOT considered as top Management in an Organisation ?,,,Production Manager,President,Chairman,Chief Operating Officer,A,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit I,Nature and Significance of Management,meaning and objectives,management,Nature and Significance of Management :: meaning and objectives,0.38,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-7,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_f01dbe79a9a22674.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,28 May,2,28 May Shift 2,69e9f214d4a8482ee0a48df1,5,"Identify the correct sequence of first 5 steps of process of Selection :
(A) Employment interview
(B) Reference and background checks
(C) Selection Tests
(D) Selection Decision
(E) Preliminary Screening
Choose the correct answer from the options given below :",,,"(E), (A), (D), (B), (C)","(E), (A), (B), (C), (D)","(E), (A), (C), (B), (D)","(E), (C), (A), (B), (D)",D,AfterBoards CUET Business Studies PYQs linked file,chronology,easy,Unit VI,Staffing,selection,"selection, interview",Staffing :: selection,0.62,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-7,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_f01dbe79a9a22674.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,28 May,2,28 May Shift 2,69e9f214d4a8482ee0a48df3,6,Identify the factor which does not affect the financing decision of an organisation :,,,Control Consideration,Risk,Investment Criteria involved,Cost,C,AfterBoards CUET Business Studies PYQs linked file,direct,easy,Unit IX,Business Finance,financing decision,financing decision,Business Finance :: financing decision,0.47,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-7,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_f01dbe79a9a22674.html,no
AfterBoards CUET Business Studies PYQs linked file,2022,28 May,2,28 May Shift 2,69e9f214d4a8482ee0a48df5,7,"Arrange the following marketing philosophies according to their evolution :
(A) The Product Concept
(B) The Selling Concept
(C) The Production Concept
(D) The Marketing Concept
(E) The Societal Marketing Concept
Choose the correct answer from the options given below :",,,"(A), (B), (C), (D), (E)","(B), (A), (C), (E), (D)","(C), (A), (B), (D), (E)","(D), (A), (C), (E), (B)",C,AfterBoards CUET Business Studies PYQs linked file,chronology,easy,Unit X,Marketing,marketing management philosophies,"production concept, product concept, selling concept, marketing concept, societal marketing",Marketing :: marketing management philosophies,0.91,https://www.afterboards.in/past-year-questions/cuet-business-studies/2022/slot-7,C:\Users\shrey\OneDrive\Documents\New project\data\raw\afterboards.in_f01dbe79a9a22674.html,no
